State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Plan Type
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,PPO
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,PPO
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
