State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Plan Type
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Gold,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Bronze,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2013,Aleutians East,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Gold,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Silver,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Expanded Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Bronze,"Moda Health Plan, Inc.",PPO
AK,2016,Aleutians West,Bronze,"Moda Health Plan, Inc.",PPO
